전체순위,광역순위,기초순위,지역명_정책,지역유형,행정적_강도,집중도_지수,청년1인당_정책예산_원,전체1인당_총예산_원,재정자립도,총예산_백만원,청년정책예산_백만원,청년인구,전체인구,일자리_점수,일자리_정책수,주거_점수,주거_정책수,교육_점수,교육_정책수,복지·문화_점수,복지·문화_정책수,참여·권리_점수,참여·권리_정책수,전략적_강도,엔트로피,정규화_엔트로피,행정적_강도_정규화,전략적_강도_정규화,종합점수,지역명_정제,지역명_이동,전입,전출,순이동,순이동률_인구대비
6,1,0,경상북도,광역자치단체,0.361630887504919,0.1102242369649766,603576.9771398979,5475900.707134694,0.253,13372746.4,261073.6,432544,2442109,0.9232912800654212,90,0.2986251890023018,6,0.9236237676974932,38,0.5701351259687467,20,0.918664500038368,25,4.447260532724552,1.8875433424767185,0.8129206699522209,0.3845434303812446,0.759997740959823,0.5722705856705338,경상북도,경상북도,99868,107828,-7960,-1.8402709544671652
13,2,0,전라북도,광역자치단체,0.4892465044506701,0.1501986441700923,888452.7523873136,5915184.902609282,0.238,9861808.1,291305.0,327879,1667202,0.5284519236873597,36,0.2986251890023018,6,0.5,16,0.7784520067899381,24,0.4647466519325482,12,3.4749055909062485,2.100485393356235,0.9046298194941004,0.5204469841940342,0.5542912268166136,0.5373691055053239,전라북도,전라북도,65357,73336,-7979,-2.4335122605831403
14,3,0,전라남도,광역자치단체,0.588203057546815,0.1913791694155728,1353725.4244276036,7073525.444600704,0.239,11809873.2,387448.4,286209,1669588,0.4272890065983927,32,0.442872538941105,7,0.7776426799526889,21,0.165113536864122,12,0.2483659009092156,9,2.9656450171636597,2.0998620355464532,0.9043613538981354,0.6258302245896594,0.4465546247695659,0.5361924246796127,전라남도,전라남도,58345,65453,-7108,-2.4834911428671256
16,4,0,경상남도,광역자치단체,0.2392590982244563,0.0910936707706228,376220.3125820397,4130037.8983450546,0.337,12742649.6,214961.0,571370,3085359,0.850800793150559,55,0.9119293073184022,13,0.2634673136260432,12,0.8376599789610661,26,0.7609468536732412,16,4.50818001546043,2.051135015759503,0.8833757687311176,0.2542242621816786,0.7728855599013003,0.5135549110414894,경상남도,경상남도,114350,127496,-13146,-2.3007818037667294
18,5,0,충청남도,광역자치단체,0.2426410749842658,0.0922693135440382,449470.2486667661,4871286.361659593,0.336,9890664.7,183987.50000000003,409343,2030401,0.8428018137273706,54,0.442872538941105,7,0.6301048453992891,18,0.8866583889922461,29,0.7026714562282714,15,4.376862881948311,2.0241497298106257,0.8717538386600289,0.2578258798486273,0.7451047685253213,0.5014653241869743,충청남도,충청남도,99191,97433,1758,0.42946763602251403
20,6,0,부산광역시,광역자치단체,0.1172914249318934,0.0572456539748158,303213.67998519377,5296710.910466442,0.46,16690868.3,199873.0,659182,3151176,0.2940617528189456,26,0.9119293073184022,13,0.8374899963494787,23,0.9213979142580072,37,0.9048900357803196,22,4.837780800930698,2.247653781612565,0.9680117944055454,0.1243354550948242,0.8426142420131686,0.4834748485539964,부산광역시,부산광역시,144175,150840,-6665,-1.0111001042199208
36,7,6,제주특별자치도,광역자치단체,0.1384133974630616,0.0494339227807768,626193.9892832182,12667293.10680404,0.3329999999999999,8070231.1,80635.0,128770,637092,0.710399510392834,44,0.2986251890023018,6,0.6872124271805796,19,0.6327510193214541,21,0.8958166774843787,21,4.12987525900565,2.101508472327547,0.9050704356241024,0.1468291843046446,0.6928533109896161,0.4198412476471304,제주특별자치도,제주특별자치도,51334,56454,-5120,-3.9760505082666127
63,8,0,대구광역시,광역자치단체,0.1505543651238985,0.0770148097930247,395146.2978889679,5130783.27338486,0.474,11649756.4,196185.0,496487,2270561,0.1681660555247241,17,0.8717416649669374,11,0.7365326863739567,20,0.3743343283735903,17,0.3089944008668283,10,3.438703122956124,2.273014327107312,0.9789339868500868,0.159758641461407,0.5466324150338757,0.3531955282476413,대구광역시,대구광역시,109617,116643,-7026,-1.4151399429593465
74,9,0,울산광역시,광역자치단체,0.1524021631720442,0.0819849994545976,403721.01924759406,4924327.888434884,0.498,5194230.3,88599.0,219456,1054810,0.20047890594354,20,0.8717416649669374,11,0.3127875728194204,13,0.3170994644564038,16,0.5502317152680057,13,3.238491004257326,2.2897732934769226,0.9861516808030184,0.1617264438940676,0.5042765475872205,0.3330014957406441,울산광역시,울산광역시,46970,48955,-1985,-0.9045052105879512
88,10,0,광주광역시,광역자치단체,0.1120774338927025,0.0501675778417854,269856.39181046,5379099.478581806,0.423,7467959.8,89878.1,333059,1388329,0.578504750369985,38,0.1986228754132843,5,0.4332110930515498,15,0.8114169462159748,25,0.3089944008668283,10,3.206884366549227,2.0343208475310144,0.8761343006316051,0.118782843833498,0.4975900065031981,0.308186425168348,광주광역시,광주광역시,67346,72787,-5441,-1.6336395844592566
93,11,0,충청북도,광역자치단체,0.180311397392853,0.0634264643241725,323173.4842160591,5095246.718535661,0.321,7774159.3,104524.0,323430,1525767,0.8243957503530676,52,0.1986228754132843,5,0.5,16,0.1146344393798496,9,0.3822625133249833,11,2.8049796253084627,1.8228622666374432,0.7850640468372778,0.1914482303460644,0.4125650636735097,0.3020066470097871,충청북도,충청북도,74068,75344,-1276,-0.3945200058126772
