전체순위,광역순위,기초순위,지역명,지역유형,행정적_강도,집중도_지수,청년예산_비율,청년인구_비율,재정자립도,총예산_백만원,청년정책예산_백만원,전략적_강도,엔트로피,정규화_엔트로피,총정책수,정책분야수,정책페널티,분야페널티,행정적_강도_정규화,전략적_강도_정규화,종합점수
1,0,1,경상북도 군위군,기초자치단체,0.9462825494841609,0.11663252894532164,0.01085031558120259,0.0930299263791949,0.07400000000000001,508648.8,5519.0,0.6842892142331044,1.9219280948873623,0.9609640474436811,5,4,0.2,0.8,1.0,0.6297832785525164,0.8148916392762582
2,1,0,전라남도,광역자치단체,0.6487306071168666,0.21823348066862597,0.03280716002945739,0.1503305539046643,0.239,11809873.2,387448.4,0.9062573468796982,2.0998620355464532,0.9043613538981354,81,5,1.0,1.0,0.6853514644800134,0.9015988532205673,0.7934751588502904
3,2,0,전라북도,광역자치단체,0.5410855959156617,0.17085324177597752,0.029538700920371794,0.1728893207604623,0.23800000000000002,9861808.1,291305.0,0.9101847810677866,2.100485393356235,0.9046298194941005,94,5,1.0,1.0,0.571521439170743,0.9064082723388778,0.7389648557548104
4,0,2,충청북도 청주시,기초자치단체,0.4885106256674451,0.19211550438029276,0.04127668568386427,0.2148534852354084,0.305,3778912.9,155981.0,0.923727834458628,2.2806390622295662,0.9822177815287605,32,5,0.8,1.0,0.515925642141167,0.9229926927973439,0.7194591674692554
5,0,3,전라북도 진안군,기초자치단체,0.44691354822316626,0.0394435389526465,0.004005544834795322,0.1015513552068473,0.07,613399.7,2457.0,0.8716801308401666,2.301708914709748,0.9912920730740393,29,5,0.6,1.0,0.4719385002807466,0.8592566226663705,0.6655975614735585
6,0,4,경상남도 거창군,기초자치단체,0.4513420419026514,0.04848555882491385,0.006031304837751063,0.1243938398138444,0.085,921525.3,5558.0,0.8348593994681084,2.2007861666461364,0.9478270113066949,29,5,0.6,1.0,0.4766214441718992,0.8141670499504128,0.645394247061156
7,3,0,경상북도,광역자치단체,0.3919998874247044,0.12142419883386174,0.01952281096125475,0.1607818799609028,0.253,13372746.4,261073.6,0.8128940219026165,1.8875433424767183,0.8129206699522209,179,5,1.0,1.0,0.41386963736958143,0.7872689017587042,0.6005692695641428
8,4,0,울산광역시,광역자치단체,0.16862436877291345,0.0914703641159391,0.017057195172882497,0.1864778317845376,0.498,5194230.3,88599.0,0.9866130028335118,2.2897732934769226,0.9861516808030184,73,5,1.0,1.0,0.17765951803503907,1.0,0.5888297590175195
9,0,5,충청북도 옥천군,기초자치단체,0.32856544079283695,0.04162023222270933,0.005093290753081491,0.122375356433077,0.107,696473.1,3547.34,0.8428917246508135,2.228212945841001,0.9596390821693782,20,5,0.6,1.0,0.34679040550356993,0.8240031965153515,0.5853968010094607
10,5,0,대구광역시,광역자치단체,0.1673920563699853,0.08637117578399164,0.016840266290889996,0.1949755359705458,0.474,11649756.4,196185.0,0.9805246404994704,2.2730143271073118,0.9789339868500867,75,5,1.0,1.0,0.17635640003218017,0.9925443725327471,0.5844503862824636
