전체순위,광역순위,기초순위,지역명,지역유형,행정적_강도,집중도_지수,청년예산_비율,청년인구_비율,재정자립도,총예산_백만원,청년정책예산_백만원,전략적_강도,엔트로피,정규화_엔트로피,총정책수,정책분야수,정책페널티,분야페널티,행정적_강도_정규화,전략적_강도_정규화,종합점수
1,0,1,경상북도 군위군,기초자치단체,0.9394405064424463,0.11533266491089668,0.01085031558120259,0.094078426,0.07400000000000001,508648.8,5519.0,0.6842892142331044,1.9219280948873623,0.9609640474436811,5,4,0.2,0.8,1.0,0.6297832785525164,0.8148916392762582
2,1,0,전라남도,광역자치단체,0.5882028666002397,0.1913790872361522,0.03280716002945739,0.171425,0.239,11809873.2,387448.4,0.9062573468796982,2.0998620355464532,0.9043613538981354,81,5,1.0,1.0,0.6259059943842632,0.9015988532205673,0.7637524238024153
3,2,0,전라북도,광역자치단체,0.48924695979724525,0.15019882093505568,0.029538700920371794,0.196664,0.23800000000000002,9861808.1,291305.0,0.9101847810677866,2.100485393356235,0.9046298194941005,94,5,1.0,1.0,0.5205106513000185,0.9064082723388778,0.7134594618194481
4,0,2,충청북도 청주시,기초자치단체,0.4453692044446413,0.17112526484616888,0.04127668568386427,0.241207432,0.305,3778912.9,155981.0,0.923727834458628,2.2806390622295662,0.9822177815287605,32,5,0.8,1.0,0.47377760394023916,0.9229926927973439,0.6983851483687915
5,0,3,전라북도 진안군,기초자치단체,0.4246343145415882,0.037032182106500645,0.004005544834795322,0.108163889,0.07,613399.7,2457.0,0.8716801308401666,2.301708914709748,0.9912920730740393,29,5,0.6,1.0,0.4516934160857735,0.8592566226663705,0.655475019376072
6,0,4,경상남도 거창군,기초자치단체,0.40221232660580486,0.04208594414014956,0.006031304837751063,0.143309244,0.085,921525.3,5558.0,0.8348593994681084,2.2007861666461364,0.9478270113066949,29,5,0.6,1.0,0.42781234432896187,0.8141670499504128,0.6209896971396873
7,3,0,경상북도,광역자치단체,0.3616309548761491,0.11022426143584116,0.01952281096125475,0.177119,0.253,13372746.4,261073.6,0.8128940219026165,1.8875433424767183,0.8129206699522209,179,5,1.0,1.0,0.38459018878051804,0.7872689017587042,0.5859295452696112
8,4,0,울산광역시,광역자치단체,0.1524019152293996,0.08198485565160078,0.017057195172882497,0.208053,0.498,5194230.3,88599.0,0.9866130028335118,2.2897732934769226,0.9861516808030184,73,5,1.0,1.0,0.1617458217367419,1.0,0.580872910868371
9,5,0,대구광역시,광역자치단체,0.15055417370930385,0.07701470432075841,0.016840266290889996,0.218663,0.474,11649756.4,196185.0,0.9805246404994704,2.2730143271073118,0.9789339868500867,75,5,1.0,1.0,0.15977784066584735,0.9925443725327471,0.5761611065992972
10,0,5,충청북도 옥천군,기초자치단체,0.2905009479364185,0.0360693935876563,0.005093290753081491,0.141208106,0.107,696473.1,3547.34,0.8428917246508135,2.228212945841001,0.9596390821693782,20,5,0.6,1.0,0.30883148243141145,0.8240031965153515,0.5664173394733815
11,6,0,경상남도,광역자치단체,0.23925855356572745,0.09109343760573192,0.016869411523330283,0.185188,0.337,12742649.6,214961.0,0.878127484717696,2.051135015759503,0.8833757687311176,122,5,1.0,1.0,0.2542545510521749,0.8671518605026015,0.5607032057773882
12,7,0,충청남도,광역자치단체,0.2426410463485732,0.09226930128024996,0.018602137023207354,0.201607,0.336,9890664.7,183987.50000000003,0.8736683949716618,2.0241497298106257,0.8717538386600289,123,5,1.0,1.0,0.25785715547312926,0.8616913917976435,0.5597742736353863
13,8,0,부산광역시,광역자치단체,0.11729144126213155,0.057245662421560616,0.01197499113931658,0.209186,0.46,16690868.3,199873.0,0.9699950962753554,2.247653781612565,0.9680117944055454,121,5,1.0,1.0,0.12435057602394448,0.9796502057884273,0.5520003909061859
14,9,0,경기도,광역자치단체,0.16023209663306875,0.10513887866709336,0.024051569883884277,0.22876,0.605,38229645.9,919483.0,0.9244150056388948,2.2037861128786016,0.9491190178244983,49,5,0.9,1.0,0.170085542751017,0.9238341821905844,0.5469598624708008
15,10,0,서울특별시,광역자치단체,0.0833393622314894,0.06553059419060077,0.01705859662672624,0.260315,0.754,52387838.2,893663.0,0.9846721330814748,2.2850446335590964,0.9841151578253093,54,5,1.0,1.0,0.08818910640109588,0.9976232686164652,0.5429061875087805
16,0,6,서울특별시 노원구,기초자치단체,0.11519663415723214,0.02014551955348211,0.004785328438246989,0.2375381,0.165,1261564.4,6037.0,0.9562221543200893,2.217582150175013,0.9550606476823689,51,5,1.0,1.0,0.12211945187330907,0.9627842706300642,0.5424518612516867
17,11,0,강원특별자치도,광역자치단체,0.23043693966049628,0.06582411583731279,0.012517903757013449,0.190172,0.254,8676740.3,108614.6,0.8536411189045061,1.956929658423764,0.8428037296816875,50,5,1.0,1.0,0.24485888126209782,0.8371665850683061,0.5410127331652019
18,12,0,제주특별자치도,광역자치단체,0.13841244754276177,0.04943355949920282,0.009991659346657371,0.202123,0.33299999999999996,8070231.1,80635.0,0.9105845183992671,2.101508472327547,0.9050704356241023,111,5,1.0,1.0,0.14684600631355046,0.9068977787881917,0.5268718925508711
19,13,0,세종특별자치시,광역자치단체,0.10091426452463839,0.06073598884234441,0.013530574280220265,0.222776883,0.5720000000000001,2503293.6,33871.0,0.9378199581591272,2.170969792767523,0.9349857980304244,64,5,1.0,1.0,0.10690767426330727,0.9402494884295488,0.523578581346428
20,0,7,경상북도 의성군,기초자치단체,0.3292596341462561,0.03626429763873761,0.003444253925092002,0.094976441,0.09300000000000001,751396.4,2588.0,0.7374636427724586,2.1180782093497097,0.9122066329329886,11,5,0.4,1.0,0.35011234339823555,0.6948991025166802,0.5225057229574579
