Model,R²,CV_R²,CV_Std,MSE,MAE,RMSE
Lasso Regression,0.3391812364706812,0.3929187406752028,0.0264614995759731,7.078272590506332,2.033606981386558,2.660502319207095
Ridge Regression,0.3079376896510635,0.3974815492223559,0.02360549608707018,7.412933700766542,2.0783141346804186,2.722670325391332
Linear Regression,0.2993129806088055,0.39821558353911224,0.023445368544612415,7.505316128421684,2.088116381516948,2.7395832034128262
Random Forest,0.24303879129093198,0.4585878393321295,0.06895535175900955,8.108089647857312,2.1901290747436675,2.847470745742142
