Model,R²,MSE,MAE,RMSE,행정적_강도_계수,전략적_강도_계수,절편,행정적_강도_정규화_계수,전략적_강도_정규화_계수
Original,0.09250304898686756,10.964377365905614,2.424861145318805,3.311250121314549,-1.310980205186387,0.6273219073202225,-1.7281056410514866,,
Normalized,0.09250304898686756,10.964377365905614,2.424861145318805,3.311250121314549,,,-1.728105641051486,-1.3109802051863868,0.627321907320223
