연도,경계코드,지표ID,시군구명,값
2023,31011,총종사자수,수원시 장안구,81408
2023,31012,총종사자수,수원시 권선구,125070
2023,31013,총종사자수,수원시 팔달구,100637
2023,31014,총종사자수,수원시 영통구,168982
2023,31021,총종사자수,성남시 수정구,91515
2023,31022,총종사자수,성남시 중원구,94387
2023,31023,총종사자수,성남시 분당구,360740
2023,31030,총종사자수,의정부시,136611
2023,31041,총종사자수,안양시 만안구,93173
2023,31042,총종사자수,안양시 동안구,183684
2023,31051,총종사자수,부천시 원미구,190299
2023,31052,총종사자수,부천시 소사구,51339
2023,31053,총종사자수,부천시 오정구,66697
2023,31060,총종사자수,광명시,107401
2023,31070,총종사자수,평택시,282259
2023,31080,총종사자수,동두천시,30259
2023,31091,총종사자수,안산시 상록구,91107
2023,31092,총종사자수,안산시 단원구,232769
2023,31101,총종사자수,고양시 덕양구,146936
2023,31103,총종사자수,고양시 일산동구,158272
2023,31104,총종사자수,고양시 일산서구,80194
2023,31110,총종사자수,과천시,48060
2023,31120,총종사자수,구리시,65489
2023,31130,총종사자수,남양주시,215480
2023,31140,총종사자수,오산시,79080
2023,31150,총종사자수,시흥시,239260
2023,31160,총종사자수,군포시,111527
2023,31170,총종사자수,의왕시,61639
2023,31180,총종사자수,하남시,120608
2023,31191,총종사자수,용인시 처인구,142703
2023,31192,총종사자수,용인시 기흥구,182327
2023,31193,총종사자수,용인시 수지구,92039
2023,31200,총종사자수,파주시,231530
2023,31210,총종사자수,이천시,143198
2023,31220,총종사자수,안성시,116818
2023,31230,총종사자수,김포시,217893
2023,31240,총종사자수,화성시,598568
2023,31250,총종사자수,광주시,159320
2023,31260,총종사자수,양주시,104222
2023,31270,총종사자수,포천시,103882
2023,31280,총종사자수,여주시,57074
2023,31550,총종사자수,연천군,17462
2023,31570,총종사자수,가평군,31795
2023,31580,총종사자수,양평군,39842
