연도,경계코드,지표ID,시군구명,값
2022,31011,총종사자수,수원시 장안구,78470
2022,31012,총종사자수,수원시 권선구,126689
2022,31013,총종사자수,수원시 팔달구,102528
2022,31014,총종사자수,수원시 영통구,176733
2022,31021,총종사자수,성남시 수정구,87785
2022,31022,총종사자수,성남시 중원구,96926
2022,31023,총종사자수,성남시 분당구,347390
2022,31030,총종사자수,의정부시,134766
2022,31041,총종사자수,안양시 만안구,92401
2022,31042,총종사자수,안양시 동안구,180356
2022,31051,총종사자수,부천시 원미구,195487
2022,31052,총종사자수,부천시 소사구,50001
2022,31053,총종사자수,부천시 오정구,68251
2022,31060,총종사자수,광명시,105908
2022,31070,총종사자수,평택시,280327
2022,31080,총종사자수,동두천시,30557
2022,31091,총종사자수,안산시 상록구,90866
2022,31092,총종사자수,안산시 단원구,242878
2022,31101,총종사자수,고양시 덕양구,137415
2022,31103,총종사자수,고양시 일산동구,158847
2022,31104,총종사자수,고양시 일산서구,77599
2022,31110,총종사자수,과천시,38882
2022,31120,총종사자수,구리시,65028
2022,31130,총종사자수,남양주시,214813
2022,31140,총종사자수,오산시,79134
2022,31150,총종사자수,시흥시,241583
2022,31160,총종사자수,군포시,117454
2022,31170,총종사자수,의왕시,60453
2022,31180,총종사자수,하남시,115768
2022,31191,총종사자수,용인시 처인구,145418
2022,31192,총종사자수,용인시 기흥구,179718
2022,31193,총종사자수,용인시 수지구,89719
2022,31200,총종사자수,파주시,231025
2022,31210,총종사자수,이천시,140910
2022,31220,총종사자수,안성시,115640
2022,31230,총종사자수,김포시,218393
2022,31240,총종사자수,화성시,586538
2022,31250,총종사자수,광주시,158713
2022,31260,총종사자수,양주시,102347
2022,31270,총종사자수,포천시,104021
2022,31280,총종사자수,여주시,59138
2022,31550,총종사자수,연천군,21763
2022,31570,총종사자수,가평군,31152
2022,31580,총종사자수,양평군,38446
