연도,경계코드,지표ID,시군구명,값
2019,31011,총종사자수,수원시 장안구,76025
2019,31012,총종사자수,수원시 권선구,106378
2019,31013,총종사자수,수원시 팔달구,97999
2019,31014,총종사자수,수원시 영통구,151541
2019,31021,총종사자수,성남시 수정구,66923
2019,31022,총종사자수,성남시 중원구,92562
2019,31023,총종사자수,성남시 분당구,302593
2019,31030,총종사자수,의정부시,119541
2019,31041,총종사자수,안양시 만안구,87740
2019,31042,총종사자수,안양시 동안구,169762
2019,31051,총종사자수,부천시 원미구,179124
2019,31052,총종사자수,부천시 소사구,45411
2019,31053,총종사자수,부천시 오정구,67597
2019,31060,총종사자수,광명시,91766
2019,31070,총종사자수,평택시,231237
2019,31080,총종사자수,동두천시,28652
2019,31091,총종사자수,안산시 상록구,80353
2019,31092,총종사자수,안산시 단원구,233931
2019,31101,총종사자수,고양시 덕양구,114426
2019,31103,총종사자수,고양시 일산동구,144497
2019,31104,총종사자수,고양시 일산서구,69707
2019,31110,총종사자수,과천시,34589
2019,31120,총종사자수,구리시,64705
2019,31130,총종사자수,남양주시,171931
2019,31140,총종사자수,오산시,70105
2019,31150,총종사자수,시흥시,206317
2019,31160,총종사자수,군포시,108843
2019,31170,총종사자수,의왕시,53833
2019,31180,총종사자수,하남시,83079
2019,31191,총종사자수,용인시 처인구,119875
2019,31192,총종사자수,용인시 기흥구,150841
2019,31193,총종사자수,용인시 수지구,75028
2019,31200,총종사자수,파주시,189963
2019,31210,총종사자수,이천시,124837
2019,31220,총종사자수,안성시,99574
2019,31230,총종사자수,김포시,174078
2019,31240,총종사자수,화성시,487178
2019,31250,총종사자수,광주시,138857
2019,31260,총종사자수,양주시,91306
2019,31270,총종사자수,포천시,95921
2019,31280,총종사자수,여주시,46762
2019,31550,총종사자수,연천군,15303
2019,31570,총종사자수,가평군,28140
2019,31580,총종사자수,양평군,32266
