연도,경계코드,지표ID,시군구명,값
2021,31011,총종사자수,수원시 장안구,79832
2021,31012,총종사자수,수원시 권선구,121096
2021,31013,총종사자수,수원시 팔달구,105990
2021,31014,총종사자수,수원시 영통구,167168
2021,31021,총종사자수,성남시 수정구,85444
2021,31022,총종사자수,성남시 중원구,100454
2021,31023,총종사자수,성남시 분당구,343774
2021,31030,총종사자수,의정부시,132081
2021,31041,총종사자수,안양시 만안구,89013
2021,31042,총종사자수,안양시 동안구,180839
2021,31051,총종사자수,부천시 원미구,194623
2021,31052,총종사자수,부천시 소사구,48932
2021,31053,총종사자수,부천시 오정구,69724
2021,31060,총종사자수,광명시,103343
2021,31070,총종사자수,평택시,273103
2021,31080,총종사자수,동두천시,30160
2021,31091,총종사자수,안산시 상록구,91289
2021,31092,총종사자수,안산시 단원구,245074
2021,31101,총종사자수,고양시 덕양구,138430
2021,31103,총종사자수,고양시 일산동구,158593
2021,31104,총종사자수,고양시 일산서구,78612
2021,31110,총종사자수,과천시,37013
2021,31120,총종사자수,구리시,67476
2021,31130,총종사자수,남양주시,213220
2021,31140,총종사자수,오산시,75761
2021,31150,총종사자수,시흥시,238220
2021,31160,총종사자수,군포시,113989
2021,31170,총종사자수,의왕시,60880
2021,31180,총종사자수,하남시,112042
2021,31191,총종사자수,용인시 처인구,142200
2021,31192,총종사자수,용인시 기흥구,181567
2021,31193,총종사자수,용인시 수지구,86870
2021,31200,총종사자수,파주시,223328
2021,31210,총종사자수,이천시,136638
2021,31220,총종사자수,안성시,112537
2021,31230,총종사자수,김포시,211157
2021,31240,총종사자수,화성시,561767
2021,31250,총종사자수,광주시,156865
2021,31260,총종사자수,양주시,99991
2021,31270,총종사자수,포천시,102902
2021,31280,총종사자수,여주시,57197
2021,31550,총종사자수,연천군,21167
2021,31570,총종사자수,가평군,29820
2021,31580,총종사자수,양평군,37837
