지자체명,행정코드,청년인구,전체인구,청년비율
경상남도 밀양시,38080,12047,96523,0.12480963086518239
경상남도 거제시,38090,35302,232810,0.15163437996649629
경상남도 양산시,38100,58738,334087,0.17581647894111413
경상남도 창원시 의창구,38111,49816,250456,0.19890120420353274
경상남도 창원시 성산구,38112,43209,204115,0.21168948876858634
경상남도 창원시 마산합포구,38113,26024,163743,0.1589319848787429
경상남도 창원시 마산회원구,38114,30901,182337,0.1694719118993951
경상남도 창원시 진해구,38115,29536,183113,0.16129930698530415
경상남도 의령군,38310,2454,23996,0.1022670445074179
경상남도 함안군,38320,7268,59055,0.12307171281009228
경상남도 창녕군,38330,6455,55729,0.11582838378582067
경상남도 고성군,38340,4727,46377,0.10192552342756107
경상남도 남해군,38350,3625,38951,0.09306564658160253
경상남도 하동군,38360,3978,40028,0.09938043369641252
경상남도 산청군,38370,2864,31082,0.09214336271797181
경상남도 함양군,38380,3551,35371,0.10039297729778632
경상남도 거창군,38390,7003,56297,0.12439383981384443
경상남도 합천군,38400,3598,39413,0.09128967599523
제주특별자치도 제주시,39010,86400,465307,0.1856838603330704
제주특별자치도 서귀포시,39020,24467,167238,0.14630048194788267
