자치단체명,세출총계
서울특별시,52387838.2
부산광역시,16690868.3
대구광역시,11649756.4
인천광역시,15379013.7
광주광역시,7467959.8
대전광역시,7540100.2
울산광역시,5194230.3
세종특별자치시,2503293.6
경기도,38229645.9
강원특별자치도,8676740.3
충청북도,7774159.3
충청남도,9890664.7
전라북도,9861808.1
전라남도,11809873.2
경상북도,13372746.4
경상남도,12742649.6
제주특별자치도,8070231.1
