연도,경계코드,지표ID,시군구명,값
2020,23010,총종사자수,중구,114527
2020,23020,총종사자수,동구,40859
2020,23040,총종사자수,연수구,134751
2020,23050,총종사자수,남동구,251065
2020,23060,총종사자수,부평구,165634
2020,23070,총종사자수,계양구,92138
2020,23080,총종사자수,서구,226670
2020,23090,총종사자수,미추홀구,132056
2020,23510,총종사자수,강화군,25442
2020,23520,총종사자수,옹진군,8160
