번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
117,경기,2024년 구리시 경기청년역량강화 기회 지원사업,복지.문화,"미취업 청년들에게 고른 취업 자격기준 습득기회 제공을 위해 어학시험,자격시험 응시료를 지원",,"2024-05-02~2024-11-30
2024.5.2. ~ 2024.11.30.",구리시 일자리경제과 청년지원팀
118,경기,기간제 채용 공고 문자 알림 신청,일자리,"'기간제 채용 공고 문자 알림'을 신청하면, 경기도 내 기간제 일자리 안내 문자를 받을 수 있습니다.
신청 후 안내 문자 수신 원하지 않는 경우에는 신청 기간 내 언제든지 취소 가능합니다.",,"2024-06-20~2024-12-30
1. 신청 기간: 2023. 6. 20.(화) ~ 2024. 12. 30.(월)
2. 서비스 기간: 2023. 7. 3.(월) ~ 2024. 12. 30.(월)",경기도일자리재단
119,경기,2024년 수원 청년희망드림 프로그램 5기 참여자 모집,일자리,「수원 청년 희망드림」 취업지원교육은 수원일자리센터에서 운영하는 맞춤형 취업 역량 강화 교육입니다.,,"2024-10-16~2024-10-25
2024. 10. 16.(수) ~ 2024. 10. 25.(금) 09:00~18:00
(방문 접수 시 토,일, 공휴일 제외)",수원시청 일자리창출팀
120,경기,KBS 기상캐스터 이세라와 함께하는 면접마라톤,일자리,KBS 기상캐스터 이세라와 함께하는 면접마라톤,,"2024-10-21~2024-11-13
2024.09.23.(월) ~ 각 교육일 전날까지",화성시청년취업끝까지지원센터
121,경기,2024 「청년 CEO 육성」 청년이 뛴다! 창업 아카데미 참여자 모집(3일과정),교육,2024 「청년 CEO 육성」 청년이 뛴다! 창업 아카데미 참여자 모집(3일과정),,"2024-10-17~2024-11-08
24.10.17.~11.8.(금)",양주시청
122,경기,제5기 취업토탈케어반 모집 (4주과정)-20명 모집,일자리,제5기 취업토탈케어반 모집 (4주과정)-20명 모집,,"2024-09-30~2024-10-28
2024.09.30.(월) ~ 2024.10.28.(월)",화성시 청년취업끝까지지원센터
123,경기,취업시즌대비-해커스 신혜진 강사와 함께하는 면접에서 합격하는 이미지메이킹,일자리,해커스 신혜진 강사와 함께하는 면접에서 합격하는 이미지메이킹,,"2024-09-13~2024-10-28
2024.09.13.(금)~2024.10.28.(월)",화성시 청년취업끝까지지원센터
124,경기,[11월 직무부트캠프] 온라인 현직자 직무교육 참가자 모집,일자리,온라인 현직자 직무교육 참가자 모집 (10/7-10/27 모집),,"2024-10-07~2024-10-27
2024.10.7.(월)~2024.10.27.(일)",화성시 청년취업끝까지지원센터
125,경기,[중소기업분석특강] 경영구조 탄탄한 중견/중소기업 보는 법!,일자리,경영구조 탄탄한 중견/중소기업 보는 법!,,"2024-10-07~2024-11-21
2024.10.7.(월) ~ 11.21.(목)",화성시 청년취업끝까지 지원센터
126,경기,챗GPT 활용하여 효율적인 마케팅 전략 교육생 모집,교육,"""챗GPT 활용하여 효율적인 마케팅 전략"" 교육생을 다음과 같이 모집합니다.",,"2024-10-02~2024-10-31
10. 2.(화) ~ 10.31.(목) 18:00까지",연천군청
127,경기,"2024년 [성남시청소년재단 X 성남 청년 참여단] 창업, 제대로 배워볼래 (청년 창업 아카데미) (교육일시 10.30. 17~21시)",교육,창업을 준비하는 청년을 대상으로 창업교육/네트워킹의 기회를 제공,,"2024-10-01~2024-10-28
2024. 10. 1.(화) 00:00 ~ 2024. 10. 28.(월) 23:59",성남시청소년재단
128,경기,2024년 성남시청소년재단 NexterZ와 함께하는 Lunch chat 참가자 모집(행사일시 : 10. 26.(토) 10:00~12:00),교육,성남 미래산업 멘토단 NexterZ와 함께 점심을 먹으며 소통하는 Lunch chat 멘토링,,"2024-10-08~2024-10-22
2024.10.08. ~ 2024.10.22.",성남시청소년재단
129,경기,2030을 위한 차이나는 클라스 <청년맞춤 릴레이 특강>,교육,"하남시에서 청년들을 위한 생활·인문학 강의를 개설합니다.
10월27일부터 3주간 ""매주 일요일 오후"",
생활밀착형 청년공간에서 2030을 위한 유익한 특강이 개설되오니 관심 있는 분들의 많은 참여 부탁드립니다.",,"2024-10-14~2024-11-09
각 강의 D-1 까지
24.10.14 ~ 24.11.9",하남시청
130,경기,청년 취‧창업 지원 프로그램 참여자 선착순 모집,일자리,하남시 청년 취‧창업지원 프로그램을 아래와 같이 안내 드리오니 많은 신청 바랍니다.,,"2024-10-14~2024-12-31
24.10.14(월) ~ 정원 마감시",하남시
131,경기,경기 양평군 2024년 상생행복일자리사업 참여 근로자 모집,일자리,지역 내 일자리 창출과 정규직 채용 장려를 통한 민간 일자리 창출,,"2024-04-30~2024-12-31
○ 사업기간: 2024. 1. ~ 12.
○ 모집기간: 2024-04-30(화) 9:00 ~ 모집완료시 종료",양평군청 일자리경제과 노동일자리팀
