번호,정책유형,정책명,정책 요약,주관기관
349,참여.권리,사업용 화물차 운전자 무료소송대리서비스,사업용 화물차 운전자 대상 무료 법률상담 및 소송대리 등 법률구조서비스를 제공하여 법률 복지 증진,대한법률구조공단
350,교육,푸른등대 기부장학금,푸른등대 기부자의 의도를 반영하여 다양한 분야의 저소득층 우수 학생을 지원하는 장학금(기부금 조성 상황에 따라 매년 사업규모가 변동됨),교육부
351,복지.문화,서민금융 생활안전분야 소액대출 지원사업 3차,일하는 저소득·저신용자의 생활 안정을 위해 개인 소액 대출 지원 사업을 진행,금융위원회
352,복지.문화,가사·간병 방문 지원사업,일상생활이 어려운 저소득층 가정에 간병·가사 서비스를 지원하여 취약계층의 생활 안정 도모 및 사회적 일자리를 창출,사회서비스사업과
353,참여.권리,국방부 2030자문단 공개 모집,정책 수립과 집행 과정에서 청년세대의 인식을 전달하는 임무를 수행할 '2030 자문단' 단원 공개 모집,국방부
354,복지.문화,청년도약계좌,만기 5년(60개월) 동안 매월 70만원 한도 내에서 자유롭게 납입하면 매월 최대 6%의 정부기여금을 지급하고 이자소득에 대한 비과세 혜택을 제공하는 상품,서민금융진흥원
355,복지.문화,중소기업 취업자 소득세 감면(청년),취업일로부터 5년이 되는 날 속하는 달의 말일까지 발생한 소득에 대한 소득세 90% 감면,기획재정부
356,교육,청년창업농 장학금,"대학 졸업 후, 영농 및 농림축산식품분야에 취․창업을 조건으로 장학금을 지원함",농림축산식품부
357,일자리,국민취업지원제도,취업을 원하는 사람에게 취업지원서비스를 종합적으로 제공하고 저소득 구직자에게는 생계를 위한 최소화의 소득을 지원하기 위한 제도,고용노동부
358,일자리,국민내일배움카드,급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안전망 차원에서 생애에 걸친 역량계발 향상 등을 위해 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비 등 지원,고용노동부
359,일자리,초고속 정보통신기반 인력양성(2년제 학위과정),정보통신융합시대에 꼭 필요한 ICT 분야의 정보통신설비 시공 관련 전문 기능인력을 양성,과학기술정보통신부
360,복지.문화,학교 밖 청소년 건강검진,학교 밖 청소년이 건강하게 성장할 수 있도록 지원하기 위하여 학교 밖 청소년을 대상으로 정기 건강검진 지원,여성가족부
361,일자리,2024년 청년농업인 영농정착지원사업 대상자 모집,"영농정착지원금 지급, 창업자금 융자지원, 영농기술·경영 교육 및 컨설팅 지원",농림축산식품부
362,복지.문화,학교 밖 청소년 지원,"학교 밖 청소년의 특성과 욕구를 파악하고 상담, 교육, 직업체험 및 취업지원 등을 제공하여, 학교 밖 청소년들이 건강한 사회구성원으로 성장할 수 있도록 지원",여성가족부
363,복지.문화,여성청소년 생리대 바우처 지원,여성청소년의 건강한 성장 지원을 위한 생리대 바우처 지원,여성가족부
364,주거,중소기업 취업청년 전월세보증금 대출,중소기업에 취업한 청년들에게 저리의 중소기업 취업청년 전월세보증금을 대출,국토교통부
365,복지.문화,위기청소년 특별지원,"보호자가 없거나, 실질적으로 보호자의 보호를 받지 못해 사회,경제적으로 어려움이 있는 위기청소년에게 생활비, 치료비, 학업지원비 등 지원",여성가족부
366,주거,신혼부부전용 전세자금,전세자금이 부족한 신혼부부에게 신혼부부 전용 전세자금 대출,국토교통부
367,일자리,2024년도 창업중심대학 예비창업자 모집,우수한 기술과 비즈니스모델을 보유한 지역 및 대학발 예비창업자 대상 정부지원 사업비와 창업중심대학별 창업지원 프로그램 등 지원,창업중심대학
368,일자리,2024년도 창업중심대학 초기 창업기업 모집,"지역과 대학발 초기 창업기업의 우수한 창업 아이템, 비즈니스모델 사업화를 위해 정부지원 사업비와 창업중심대학별 창업지원 프로그램 등 지원",창업중심대학
369,일자리,2024 KOTRA 일본 온라인잡페어 봄,KOTRA 일본 지역 무역관 일본지역 봄 잡페어,KOTRA
370,주거,청년 주택드림 청약통장,"청년의 내 집 마련을 위해 장기,저리 대출 지원",국토교통부
371,복지.문화,자립준비청년 의료비 지원 사업,건강보험 가입 자립준비 청년이 의료급여 2종과 유사한 수준으로 의료서비스를 이용할 수 있도록 건강보험 본인일부부담금을 지원하는 사업,보건복지부
372,일자리,청년도전지원사업,"구직단념청년 등에게 구직의욕 고취 및 자신감 강화를 위한 맞춤형 프로그램 제공, 참여자에게 참여수당·인센티브 지급",고용노동부
373,교육,농촌 출신 대학생 학자금 융자,어업인 및 농식품인재의 교육비 부담 경감,한국장학재단
374,주거,한국장학재단 창업기숙사,"다양한 유형의 창업을 준비하는 대학(원)생들이 시간, 공간에 구애받지 않고 창업에 전념할 수 있는 양질의 주거환경을 무상으로 지원",한국장학재단
375,주거,신생아 특례 전세자금 대출,최저 연 1.1% 금리로 최대 3억원 이내 융자해주는 신생아 특례 대출 사업,국토교통부
376,주거,청년전용 보증부 월세대출,청년들에게 낮은 이자로 전월세보증금 및 월세 대출 지원,국토교통부
377,일자리,2024년 청년창업사관학교 14기 모집,유망 창업아이템 및 혁신기술을 보유한 우수 창업자를 발굴하여 성공적인 창업사업화 지원,"중소벤처기업부,"
378,주거,청년전용 버팀목전세자금,전세자금이 부족한 청년들에게 청년전용 버팀목 전세자금을 대출,국토교통부
