연도,경계코드,지표ID,시군구명,값
2021,11010,총종사자수,종로구,275007
2021,11020,총종사자수,중구,387438
2021,11030,총종사자수,용산구,151839
2021,11040,총종사자수,성동구,200788
2021,11050,총종사자수,광진구,127761
2021,11060,총종사자수,동대문구,143293
2021,11070,총종사자수,중랑구,108222
2021,11080,총종사자수,성북구,120972
2021,11090,총종사자수,강북구,77529
2021,11100,총종사자수,도봉구,74516
2021,11110,총종사자수,노원구,127566
2021,11120,총종사자수,은평구,104484
2021,11130,총종사자수,서대문구,116074
2021,11140,총종사자수,마포구,277732
2021,11150,총종사자수,양천구,129358
2021,11160,총종사자수,강서구,283547
2021,11170,총종사자수,구로구,236487
2021,11180,총종사자수,금천구,253100
2021,11190,총종사자수,영등포구,431292
2021,11200,총종사자수,동작구,107393
2021,11210,총종사자수,관악구,124560
2021,11220,총종사자수,서초구,487149
2021,11230,총종사자수,강남구,800269
2021,11240,총종사자수,송파구,395719
2021,11250,총종사자수,강동구,153049
