연도,경계코드,지표ID,시군구명,값
2022,11010,총종사자수,종로구,278402
2022,11020,총종사자수,중구,387095
2022,11030,총종사자수,용산구,149461
2022,11040,총종사자수,성동구,203674
2022,11050,총종사자수,광진구,127761
2022,11060,총종사자수,동대문구,142624
2022,11070,총종사자수,중랑구,109261
2022,11080,총종사자수,성북구,122504
2022,11090,총종사자수,강북구,76995
2022,11100,총종사자수,도봉구,72795
2022,11110,총종사자수,노원구,123071
2022,11120,총종사자수,은평구,103340
2022,11130,총종사자수,서대문구,117100
2022,11140,총종사자수,마포구,272609
2022,11150,총종사자수,양천구,129462
2022,11160,총종사자수,강서구,292365
2022,11170,총종사자수,구로구,238168
2022,11180,총종사자수,금천구,253930
2022,11190,총종사자수,영등포구,429832
2022,11200,총종사자수,동작구,105145
2022,11210,총종사자수,관악구,122412
2022,11220,총종사자수,서초구,491797
2022,11230,총종사자수,강남구,800781
2022,11240,총종사자수,송파구,403764
2022,11250,총종사자수,강동구,159556
