연도,경계코드,지표ID,시군구명,값
2020,11010,총종사자수,종로구,286947
2020,11020,총종사자수,중구,406947
2020,11030,총종사자수,용산구,152457
2020,11040,총종사자수,성동구,195357
2020,11050,총종사자수,광진구,132428
2020,11060,총종사자수,동대문구,145601
2020,11070,총종사자수,중랑구,106651
2020,11080,총종사자수,성북구,118897
2020,11090,총종사자수,강북구,81144
2020,11100,총종사자수,도봉구,75316
2020,11110,총종사자수,노원구,122057
2020,11120,총종사자수,은평구,104503
2020,11130,총종사자수,서대문구,118926
2020,11140,총종사자수,마포구,284727
2020,11150,총종사자수,양천구,127086
2020,11160,총종사자수,강서구,275475
2020,11170,총종사자수,구로구,235394
2020,11180,총종사자수,금천구,257857
2020,11190,총종사자수,영등포구,427094
2020,11200,총종사자수,동작구,108613
2020,11210,총종사자수,관악구,133486
2020,11220,총종사자수,서초구,497567
2020,11230,총종사자수,강남구,836627
2020,11240,총종사자수,송파구,407979
2020,11250,총종사자수,강동구,162242
