연도,경계코드,지표ID,시군구명,값
2019,11010,총종사자수,종로구,259563
2019,11020,총종사자수,중구,391977
2019,11030,총종사자수,용산구,134282
2019,11040,총종사자수,성동구,175774
2019,11050,총종사자수,광진구,124019
2019,11060,총종사자수,동대문구,135150
2019,11070,총종사자수,중랑구,97074
2019,11080,총종사자수,성북구,107616
2019,11090,총종사자수,강북구,70929
2019,11100,총종사자수,도봉구,68050
2019,11110,총종사자수,노원구,110295
2019,11120,총종사자수,은평구,88673
2019,11130,총종사자수,서대문구,111043
2019,11140,총종사자수,마포구,245050
2019,11150,총종사자수,양천구,117045
2019,11160,총종사자수,강서구,251327
2019,11170,총종사자수,구로구,221099
2019,11180,총종사자수,금천구,240250
2019,11190,총종사자수,영등포구,369924
2019,11200,총종사자수,동작구,104055
2019,11210,총종사자수,관악구,112059
2019,11220,총종사자수,서초구,438140
2019,11230,총종사자수,강남구,696455
2019,11240,총종사자수,송파구,335760
2019,11250,총종사자수,강동구,136570
